danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_source_playlist,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.637,0.488,2,-8.626,0,0.397,0.258,0.0,0.118,0.358,134.521,158285,5,4kgvt58DnH7Noa39hXhsje,Now,6Jq0QdwB0vk7VPcIqpo4pr,3KaFfC4kfSJiwbdCA1vF5H,Tejah,3256,16,2021-01-31,day,15,2024-01-08
0.59,0.605,6,-6.327,0,0.154,0.256,0.0,0.158,0.296,127.124,175256,5,3Ijyrp6Q9mRC34Td2ibzRR,Life My Life,6Jq0QdwB0vk7VPcIqpo4pr,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,21328,31,2020-04-19,day,16,2024-01-08
0.429,0.496,1,-7.364,0,0.0341,0.519,0.0,0.101,0.227,128.006,177500,5,4RGFBu3uDTTjQ5QhHPniJZ,Noble,6Jq0QdwB0vk7VPcIqpo4pr,6hhy54ByINNSzZKbPgosRO,Jza King,355,2,2021-01-31,day,0,2024-01-08
0.681,0.543,4,-7.016,0,0.457,0.122,0.0,0.0959,0.404,106.021,215094,4,5LVaNey4wI2Z63qzInySLh,Somebody Great,6Jq0QdwB0vk7VPcIqpo4pr,7IbkKTNpBj7MORRdt3oge3,Zerimar,30169,34,2021-02-02,day,13,2024-01-08
0.593,0.711,10,-7.001,0,0.193,0.131,0.0,0.0734,0.299,103.545,139200,4,3r5IUxk20uHM3AmQTuXl6d,Bin Walid,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2021-02-06,day,14,2024-01-08
0.738,0.442,7,-11.088,1,0.346,0.274,0.0,0.101,0.303,133.295,211252,5,43qNRJyj5qFqKwAazFh0K6,Start It (Reflex Riddim),6Jq0QdwB0vk7VPcIqpo4pr,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,21328,31,2021-02-09,day,5,2024-01-08
0.49,0.479,1,-7.007,1,0.368,0.257,5.66e-06,0.0954,0.203,76.189,193985,3,0pCkMVkHYzJwXrgv7rbol8,Murda,6Jq0QdwB0vk7VPcIqpo4pr,24r0hQtbDP3Y4PhK63EUOP,Mickey Dan,7,0,2021-01-22,day,0,2024-01-08
0.577,0.414,1,-11.92,0,0.412,0.356,0.00041,0.203,0.391,145.611,161496,5,2yxNEhLtM4sA1ktMaF8Ptl,New Condition (crocodile teeth riddim),6Jq0QdwB0vk7VPcIqpo4pr,3OIDi1AVfENrdBzYtetQ8J,Natty,2,0,2021-02-08,day,0,2024-01-08
0.767,0.576,3,-8.311,0,0.101,0.917,0.00209,0.0957,0.762,99.996,191033,4,4aJifNeBsQUV5TFHkHfkqd,KILLA REGULAR RASTA - Freestyle,6Jq0QdwB0vk7VPcIqpo4pr,6aLFwSkawhlqA9ASsMruS8,Chucky,1479,3,2019-09-17,day,17,2024-01-08
0.514,0.527,5,-7.974,0,0.122,0.439,0.0,0.154,0.502,78.576,176516,4,4ytiASAkTqdnC4UEHPCWtb,Tribute to women,6Jq0QdwB0vk7VPcIqpo4pr,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,112646,43,2021-02-13,day,5,2024-01-08
0.879,0.648,0,-6.257,1,0.191,0.692,0.0,0.336,0.723,104.065,150000,4,5mQ6eGVivnfUM3AoKR0ogS,M16,6Jq0QdwB0vk7VPcIqpo4pr,277jOUSGN5AKoZoDxvfmUP,Young Star 6ixx,15424,28,2020-12-26,day,20,2024-01-08
