danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.848,0.514,3,-6.254,0,0.216,0.542,0.0,0.0998,0.529,91.972,188071,4,1HxRxpQaKZ4YCBcuWkdvw5,Vengeance,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,20294,29,2019-03-05,day,14,2023-12-19
0.705,0.865,8,0.407,0,0.289,0.421,5.35e-06,0.416,0.355,92.868,209032,4,16S50hbW9Ui4kYTPyWQurr,My Queen,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,20294,29,2020-05-03,day,12,2023-12-19
0.861,0.677,6,-5.097,0,0.16,0.593,0.0,0.173,0.53,96.98,164299,4,2JMoaiETMzWj1JuH3Qoqzw,March Out,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,20294,29,2020-05-15,day,9,2023-12-19
0.833,0.497,0,-5.785,0,0.0629,0.341,0.0,0.134,0.407,100.098,184000,4,2n4DDrBbyFRy7DtBslqoSG,Walking Dead,1q8eLau7GFYIqG56nO7Cwt,CJ Dan,6759,8,2020-06-16,day,2,2023-12-19
0.568,0.481,1,-8.623,1,0.184,0.0309,2.19e-05,0.135,0.179,99.104,188265,4,2HYdeo3DodKgsBmD3TVQTK,Zess in Peace,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2020-06-06,day,32,2023-12-19
0.669,0.573,0,-9.535,0,0.184,0.236,0.0,0.178,0.516,96.171,180050,4,4mBWrY8fUrB4mlrpX5EsaA,Full Ah Zess,3iWwLfjZAKzmAB57v38i45,Raskality,5666,14,2019-05-09,day,16,2023-12-19
0.721,0.419,1,-12.849,0,0.523,0.397,0.00256,0.102,0.626,119.667,184416,5,43XCJ7TGzi5YUY9H9ZM02y,Shella Business,3iWwLfjZAKzmAB57v38i45,Raskality,5666,14,2019-11-15,day,2,2023-12-19
0.649,0.751,10,-3.356,0,0.123,0.624,0.000394,0.26,0.762,126.752,180037,5,4o9Xjt2Vom7Jz6o5HefWll,Please Jah,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,20294,29,2019-08-30,day,10,2023-12-19
0.836,0.625,10,-6.0,0,0.485,0.174,0.0,0.155,0.294,105.905,186000,4,3UnrwZ6tnJfx1HIPeR8iP1,Dark,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-03-02,day,14,2023-12-19
0.774,0.702,5,-7.118,0,0.0949,0.24,0.0,0.52,0.58,100.078,158119,4,4QH8r0iy4wVQZu3YPGG29i,Fully 6ixx,"4DbFUy6A1B8aJuNKjrQX3k,60XkthNPxcF6LNmFB4i1j8","Tafari,Rebel","6068,61","9,11",2019-02-24,day,24,2023-12-19
0.798,0.728,1,-2.101,1,0.117,0.407,2.11e-06,0.288,0.45,102.086,144118,4,743mjyeoiLPuaDF8ZvZwzt,Heights of Greatness,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-03-13,day,11,2023-12-19
0.5,0.626,4,-8.286,1,0.359,0.551,2.15e-05,0.161,0.347,66.92,174042,5,1cbTNx0Il06pTerFdwfmHu,Lifestyle,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2019-04-05,day,14,2023-12-19
0.795,0.611,6,-7.626,0,0.297,0.377,0.0,0.158,0.329,100.025,199416,4,7xcuZ6it2nDqVUh0B29znm,Rise Up,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2019-11-11,day,26,2023-12-19
0.727,0.677,2,-6.647,1,0.44,0.29,0.0,0.107,0.39,104.563,178426,4,0nKXu2MA0BDfHlOGFHQg9S,Looney,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-03-16,day,17,2023-12-19
0.54,0.892,4,-3.194,0,0.137,0.683,0.0,0.119,0.589,66.318,170947,5,2ZtoZ5KfkJopYmxSsAH78U,Things Mi Like,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,20294,29,2020-03-24,day,5,2023-12-19
0.635,0.785,8,0.082,1,0.386,0.651,0.0,0.0765,0.469,122.461,224176,5,22VkCYoJYaLyqHyJbOEmd4,Y.W. & F.,"58GP6t4N8aiJkHTOM41ECz,6QJrx4J9XqIxXUBhacoJHC","Plumpy Boss,Medz Boss","20294,33706","29,26",2020-03-25,day,10,2023-12-19
0.622,0.502,9,-9.788,0,0.38,0.84,0.0,0.122,0.738,130.147,157649,5,7KUixnExocVYLhLSej3OVS,Doom,5slhysoEJ05kVNc173rOJU,K Lion,2499,5,2021-01-11,day,15,2023-12-19
0.645,0.687,4,-3.991,0,0.0975,0.631,0.0,0.145,0.767,103.951,135027,4,4N5wDxNrfUq2S6GUN8ljtk,Knock,"2CzDoKM72K2fdbbtnAVtlJ,7zow5Va8ESrfnxvUF62HRH","Teejah,Icee Dan","3411,7933","2,21",2019-10-18,day,13,2023-12-19
0.635,0.765,8,-0.682,1,0.302,0.214,0.0,0.163,0.273,187.762,173617,4,0XCSfWmpzQctqknug6zyfi,Come See Me,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,20294,29,2020-03-25,day,12,2023-12-19
0.563,0.599,8,-1.144,1,0.271,0.319,0.0,0.151,0.309,94.443,188936,4,1qJt9lT5en6fjZPtuXs90U,Why Pree,7zow5Va8ESrfnxvUF62HRH,Icee Dan,7933,21,2020-03-25,day,6,2023-12-19
0.601,0.636,5,-1.407,0,0.244,0.351,4.26e-06,0.0998,0.331,92.192,186383,4,6hm6NmNeK2v2udArr7Y8x1,Trini Bad,2y0QGjnlzB39Nf2duLQoxk,KG,238,18,2020-03-25,day,7,2023-12-19
0.728,0.622,9,-7.544,0,0.169,0.258,0.0,0.327,0.419,133.212,175200,5,49dMKmMc4VpV5dEMs2SrzQ,New Settings,6QJrx4J9XqIxXUBhacoJHC,Medz Boss,33706,26,2020-04-17,day,18,2023-12-19
0.747,0.724,5,-4.982,0,0.231,0.189,1.17e-06,0.133,0.195,66.707,137445,3,4pmZNiKyksRl4Hs4Q4FHI3,King Life,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-03-26,day,35,2023-12-19
0.822,0.79,5,-4.426,1,0.105,0.319,0.0,0.645,0.532,104.031,161538,4,4pXmpmYfGA9FcpQ26Z58Rx,Deal With It,"3r8Hq14XJAyy6K8mlBs2s5,5AVAzwpIu9f3H1oegupPCd","Rebel Sixx,Travis World","50069,14333","32,41",2020-03-26,day,14,2023-12-19
0.785,0.724,8,-3.29,0,0.0989,0.429,0.0,0.109,0.62,102.076,134430,4,1cOxR1m0uBQF3yJmU1zL5e,So Right,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-03-26,day,11,2023-12-19
0.786,0.764,3,-3.842,0,0.126,0.458,0.0,0.225,0.596,103.004,188738,4,2Q0whzivIxh6gvETkZVAz8,History Book,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-03-26,day,12,2023-12-19
0.78,0.574,5,-7.391,0,0.062,0.329,0.0,0.133,0.58,105.046,205714,4,2NdDPlnepE6rdWo3Ea5ZvW,Ghetto Prophet,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-03-26,day,26,2023-12-19
0.864,0.336,7,-13.343,0,0.446,0.729,4.11e-06,0.087,0.268,102.998,170097,4,1Ws1EbaVbgeGYXs47971q3,Cramp Dem,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-01-01,day,18,2023-12-19
0.624,0.811,0,-4.148,0,0.32,0.45,0.0,0.0996,0.547,86.317,188395,4,3rYUmKC2wm9v4WDEiaFrfS,Knock It,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,20294,29,2020-01-17,day,15,2023-12-19
0.62,0.575,11,-8.166,0,0.403,0.602,0.0,0.257,0.54,129.591,181316,5,34CSnxpzP47wjhIYFbzdmN,Outside,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2019-04-05,day,5,2023-12-19
0.948,0.474,1,-7.502,1,0.215,0.328,0.0,0.0748,0.756,102.008,170527,4,1Rb8dGAGOpo0ou6KWd7Rh2,Jump on My Cocky,"09LprKSjs0a3gH492PixiV,1yBSwrhGAh8xLabpLtbzTL,6gIIlxlZpVoCOJWu20Rj2g","Potential Kidd,Trinidad Ghost,Mr Grills","939,611,8","12,6,0",2019-03-25,day,0,2023-12-19
0.673,0.908,10,-2.056,0,0.382,0.0746,6.64e-06,0.169,0.561,104.934,160000,4,72aC1kO5NRlhciYesmu6Y7,Champions League,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-04-05,day,5,2023-12-19
0.789,0.441,6,-11.237,0,0.44,0.409,0.000569,0.153,0.239,134.565,192475,5,2xJvjFqDlw5rovw9gflcZh,Hide & Seek,"3r8Hq14XJAyy6K8mlBs2s5,1MdzISNKOYvAhoak5FBn2C","Rebel Sixx,Coutain","50069,1801","32,16",2020-01-27,day,14,2023-12-19
0.591,0.437,9,-11.115,0,0.106,0.342,0.00132,0.103,0.187,133.215,178561,5,2Kash1TDMUyeImXTZAB3hd,Military Standard,3RZVAxQEhF9JEFvHDRovxQ,Ice Dan,1279,0,2019-05-17,day,3,2023-12-19
0.563,0.658,11,-9.837,0,0.663,0.297,0.0,0.655,0.875,93.604,194273,4,1NHXo5h3Kysh5zWHZQKQax,We out Here,3ATKkAzfZsIJuoCnOepK67,Trigger Dan,1790,6,2019-07-19,day,2,2023-12-19
0.901,0.574,10,-6.654,0,0.4,0.0556,0.0,0.0529,0.232,92.088,130435,4,69IXRZewcuVI1H2KWkKYMW,Lock It,6QJrx4J9XqIxXUBhacoJHC,Medz Boss,33706,26,2020-04-20,day,6,2023-12-19
0.653,0.593,1,-4.64,1,0.439,0.282,0.0,0.106,0.283,200.065,160800,4,0rwZImnu68KfWCa4Wim7iG,Last Days,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-05-01,day,9,2023-12-19
0.886,0.641,6,-4.928,0,0.0967,0.603,6.31e-05,0.37,0.771,100.088,176400,4,2gSJCm1gcCXXfcLeElXUXz,Tight & Good,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-05-05,day,5,2023-12-19
0.923,0.537,6,-4.164,1,0.206,0.0961,3.49e-06,0.249,0.546,100.023,156778,4,5ytiuWdHukOZLtZBfzcfqR,Black Rain,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-04-11,day,21,2023-12-19
0.77,0.581,5,-3.092,1,0.111,0.447,1.32e-05,0.187,0.542,99.958,156549,4,0EyAByUg4sNJDQFw0aIn2V,Plan,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-05-31,day,18,2023-12-19
0.78,0.837,5,0.055,0,0.278,0.181,0.0,0.085,0.345,130.936,144528,5,3ju22V3WVQQUV0gCwgk0UI,Kill a Clown,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-05-29,day,7,2023-12-19
0.578,0.816,5,0.874,0,0.289,0.847,0.0,0.137,0.672,137.036,205385,5,0qKqGgquhT9TtlRu3X99wy,Name of the Game,"6CxUKwVnCBKKP60XMvnMOL,6p3yRoqpqsQp5AajLW9MVa,4DbFUy6A1B8aJuNKjrQX3k","Jahllano,LRG,Tafari","19787,1123,6068","24,3,9",2020-04-15,day,6,2023-12-19
0.753,0.484,2,-6.867,0,0.303,0.671,5.96e-05,0.107,0.376,104.037,166154,4,6jj7fDpv5pWwlTMXBzY4t7,No Trust No Love,"3r8Hq14XJAyy6K8mlBs2s5,5AVAzwpIu9f3H1oegupPCd","Rebel Sixx,Travis World","50069,14333","32,41",2020-06-03,day,47,2023-12-19
0.855,0.87,2,-3.803,0,0.123,0.354,0.0,0.0824,0.519,130.002,184615,4,1adZB0M09tyKc0Uyu2lPas,World War 4,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-08-21,day,16,2023-12-19
0.882,0.725,2,-4.698,1,0.305,0.132,0.0,0.284,0.582,102.989,184111,4,15E33ox5QcaPZOEJ3pFhVL,Covid (Freestyle),3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-08-31,day,10,2023-12-19
0.614,0.472,9,-10.899,0,0.338,0.555,0.0,0.176,0.328,132.567,177647,5,1pDrlfTUcDSeLJ2VSbp83g,Warn Dem,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2019-05-17,day,7,2023-12-19
0.804,0.636,9,-6.571,0,0.201,0.57,1.06e-06,0.173,0.669,97.962,189518,4,3VvPOFYAc3mGzVKIOWxD46,Squeeze,0WK9Tb5kguLaYynIb3vrNc,Rebel,314,24,2019-11-22,day,21,2023-12-19
